Dzielnica   Nazwa szkoły                                                                   Symbol oddziału     Nazwa krótka oddziału                                              Najmniejsza liczba punktów kandydatów zakwalifikowanych
Mokotów   Technikum Ekonomiczne nr 8                                                                     1Ah               1Ah [O] Technik rachunkowości (ang-hisz)   89.30
Mokotów   Technikum Ekonomiczne nr 8                                                         1An             1An [O] Technik rachunkowości (ang-niem)                      65.20
Mokotów   Technikum Ekonomiczne nr 8                                                         1Bh             1Bh [O] Technik ekonomista (ang-hisz)                         116.80
Mokotów   Technikum Ekonomiczne nr 8                                                         1Bn             1Bn [O] Technik ekonomista (ang-niem)                         91.30
Mokotów   Technikum Ekonomiczne nr 8                                                         1C              1C [O] Technik reklamy (ang-hisz)                             70.35
Mokotów   Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21                              1AH             1AH [O] Technik hotelarstwa (ang-niem)                        87.05
Mokotów   Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21                              1DT             1DT [O] Technik organizacji turystyki (ang-hisz)              83.00
Mokotów   Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21                              1GO             1GO [O] Technik żywienia i usług gastronomicznych (ang-fra)   74.90
Mokotów   Technikum Mechatroniczne nr 1                                                      1ta/h           1ta/h [D] Technik informatyk (ang-hisz)                       178.66
Mokotów   Technikum Mechatroniczne nr 1                                                      1ta/n           1ta/n [D] Technik informatyk (ang-niem)                       176.48
Mokotów   Technikum Mechatroniczne nr 1                                                      1tb/inf/hisz    1tb/inf/hisz [O] Technik informatyk (ang-hisz)                164.40
Mokotów   Technikum Mechatroniczne nr 1                                                      1tb/inf/niem    1tb/inf/niem [O] Technik informatyk (ang-niem)                164.35
Mokotów   Technikum Mechatroniczne nr 1                                                      1tb/prg/hiszp   1tb/prg/hiszp [O] Technik programista (ang-hisz)              177.35
Mokotów   Technikum Mechatroniczne nr 1                                                      1tb/prg/niem    1tb/prg/niem [O] Technik programista (ang-niem)               174.25
Mokotów   Technikum Mechatroniczne nr 1                                                      1tm1            1tm1 [O] Technik mechatronik (ang-hisz)                       168.55
Mokotów   Technikum Mechatroniczne nr 1                                                      1tm2            1tm2 [O] Technik mechatronik (ang-niem)                       167.35
Mokotów   Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej                           1TFC            1TFC [O] Technik usług fryzjerskich (ang*-hisz*)              87.00
Mokotów   Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej                           1TFD            1TFD [O] Technik usług fryzjerskich (ang*-niem*)              84.65
Mokotów   Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej                           1TFI/2          1TFI/2 [I-i] Technik usług fryzjerskich (ang*-niem*)          n.d.
Mokotów   Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej                           1TMA            1TMA [O] Technik przemysłu mody (ang*-hisz*)                  82.05
Mokotów   Technikum Odzieżowe i Fryzjerskie im. Marii Bratkowskiej                           1TSA/B          1TSA/B [O] Technik stylista (ang*-niem*)                      88.90
Mokotów   Technikum Ogrodnicze                                                               1TAK            1TAK [O] Technik architektury krajobrazu (ang-niem*)          52.35
Mokotów   Technikum Ogrodnicze                                                               1TO             1TO [O] Technik ogrodnik (ang-niem*)                          37.30
Mokotów   Technikum Ogrodnicze                                                               1TOŚ            1TOŚ [O] Technik ochrony środowiska (ang-niem*)               27.50
Mokotów   Technikum Ogrodnicze                                                               1TW             1TW [O] Technik weterynarii (ang-niem*)                       113.50
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/1             1/1 [O] fiz-ang-mat (ang-niem)                                162.80
